CURSO_ACADEMICO;ESTUDIO;LOCALIDAD;CENTRO;PRELA_CONVO_NOTA_DEF;NOTA_CORTE_DEFINITIVA_JULIO;NOTA_CORTE_DEFINITIVA_SEPTIEMBRE;FECHA_ACTUALIZACION
2020;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;;5.000;6.144;19/12/2021
2020;Grado: Enfermería;Zaragoza;Facultad de Ciencias de la Salud;;11.528;;19/12/2021
2020;Grado: Enfermería;Huesca;Escuela Universitaria de Enfermería San Jorge de Huesca;;10.984;;19/12/2021
2020;Grado: Enfermería;Teruel;Escuela Universitaria de Enfermería de Teruel;;10.701;;19/12/2021
2020;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;;5.000;5.000;19/12/2021
2020;Grado: Filosofía;Zaragoza;Facultad de Filosofía y Letras;;5.000;10.059;19/12/2021
2020;Grado: Periodismo;Zaragoza;Facultad de Filosofía y Letras;;10.452;;19/12/2021
2020;Grado: Información y Documentación;Zaragoza;Facultad de Filosofía y Letras;;5.000;5.000;19/12/2021
2020;Grado: Fisioterapia;Zaragoza;Facultad de Ciencias de la Salud;;10.619;;19/12/2021
2020;Grado: Terapia Ocupacional;Zaragoza;Facultad de Ciencias de la Salud;;7.000;;19/12/2021
2020;Grado: Trabajo Social;Zaragoza;Facultad de Ciencias Sociales y del Trabajo;;5.000;;19/12/2021
2020;Grado: Ingeniero en Diseño Industrial y Desarrollo de Producto;Zaragoza;Escuela de Ingeniería y Arquitectura;;10.133;;19/12/2021
2020;Grado: Ciencia y Tecnología de los Alimentos;Zaragoza;Facultad de Veterinaria;;9.620;;19/12/2021
2020;Grado: Ciencias de la Actividad Física y del Deporte;Huesca;Facultad de Ciencias de la Salud y del Deporte;;10.244;;19/12/2021
2020;Grado: Geología;Zaragoza;Facultad de Ciencias;;5.000;5.000;19/12/2021
2020;Grado: Óptica y Optometría;Zaragoza;Facultad de Ciencias;;5.916;;19/12/2021
2020;Grado: Magisterio en Educación Primaria;Zaragoza;Facultad de Educación;;9.476;;19/12/2021
2020;Grado: Magisterio en Educación Primaria;Huesca;Facultad de Ciencias Humanas y de la Educación;;7.624;;19/12/2021
2020;Grado: Magisterio en Educación Primaria;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;;5.000;5.000;19/12/2021
2020;Grado: Magisterio en Educación Infantil;Zaragoza;Facultad de Educación;;9.215;;19/12/2021
2020;Grado: Magisterio en Educación Infantil;Huesca;Facultad de Ciencias Humanas y de la Educación;;6.930;;19/12/2021
2020;Grado: Magisterio en Educación Infantil;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;;5.000;5.000;19/12/2021
2020;Grado: Medicina;Zaragoza;Facultad de Medicina;;12.735;;19/12/2021
2020;Grado: Medicina;Huesca;Facultad de Ciencias de la Salud y del Deporte;;12.711;;19/12/2021
2020;Grado: Estudios Clásicos;Zaragoza;Facultad de Filosofía y Letras;;5.000;5.000;19/12/2021
2020;Grado: Estudios Ingleses;Zaragoza;Facultad de Filosofía y Letras;;7.867;;19/12/2021
2020;Grado: Filología Hispánica;Zaragoza;Facultad de Filosofía y Letras;;5.000;5.000;19/12/2021
2020;Grado: Historia;Zaragoza;Facultad de Filosofía y Letras;;5.000;5.000;19/12/2021
2020;Grado: Historia del Arte;Zaragoza;Facultad de Filosofía y Letras;;5.000;5.000;19/12/2021
2020;Grado: Física;Zaragoza;Facultad de Ciencias;;11.934;;19/12/2021
2020;Grado: Biotecnología;Zaragoza;Facultad de Ciencias;;12.588;;19/12/2021
2020;Grado: Matemáticas;Zaragoza;Facultad de Ciencias;;11.298;;19/12/2021
2020;Grado: Química;Zaragoza;Facultad de Ciencias;;5.000;;19/12/2021
2020;Grado: Nutrición Humana y Dietética;Huesca;Facultad de Ciencias de la Salud y del Deporte;;7.560;;19/12/2021
2020;Grado: Odontología;Huesca;Facultad de Ciencias de la Salud y del Deporte;;12.106;;19/12/2021
2020;Grado: Veterinaria;Zaragoza;Facultad de Veterinaria;;11.094;;19/12/2021
2020;Grado: Administración y Dirección de Empresas;Zaragoza;Facultad de Economía y Empresa;;8.013;;19/12/2021
2020;Grado: Administración y Dirección de Empresas;Huesca;Facultad de Empresa y Gestión Pública;;5.000;5.000;19/12/2021
2020;Grado: Administración y Dirección de Empresas;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;;5.000;5.000;19/12/2021
2020;Grado: Derecho;Zaragoza;Facultad de Derecho;;9.415;;19/12/2021
2020;Grado: Economía;Zaragoza;Facultad de Economía y Empresa;;5.000;5.000;19/12/2021
2020;Grado: Finanzas y Contabilidad;Zaragoza;Facultad de Economía y Empresa;;5.000;5.000;19/12/2021
2020;Grado: Geografía y Ordenación del Territorio;Zaragoza;Facultad de Filosofía y Letras;;5.000;5.000;19/12/2021
2020;Grado: Gestión y Administración Pública;Huesca;Facultad de Empresa y Gestión Pública;;5.000;5.000;19/12/2021
2020;Grado: Marketing e Investigación de Mercados;Zaragoza;Facultad de Economía y Empresa;;7.643;;19/12/2021
2020;Grado: Relaciones Laborales y Recursos Humanos;Zaragoza;Facultad de Ciencias Sociales y del Trabajo;;5.000;5.000;19/12/2021
2020;Grado: Turismo;Zaragoza;Escuela Universitaria de Turismo de Zaragoza;;5.000;5.000;19/12/2021
2020;Grado: Ingeniería Agroalimentaria y del Medio Rural;Huesca;Escuela Politécnica Superior;;5.000;5.000;19/12/2021
2020;Grado: Ingeniería Civil;Almunia de Doña Godina (La);Escuela Universitaria Politécnica de la Almunia de Doña Godina;;5.000;5.000;19/12/2021
2020;Grado: Arquitectura Técnica;Almunia de Doña Godina (La);Escuela Universitaria Politécnica de la Almunia de Doña Godina;;5.000;5.000;19/12/2021
2020;Grado: Ingeniería de Organización Industrial;Almunia de Doña Godina (La);Escuela Universitaria Politécnica de la Almunia de Doña Godina;;5.000;5.000;19/12/2021
2020;Grado: Ingeniería de Organización Industrial;Zaragoza;Centro Universitario de la Defensa de Zaragoza;;5.000;;19/12/2021
2020;Grado: Ingeniería de Tecnologías Industriales;Zaragoza;Escuela de Ingeniería y Arquitectura;;5.000;5.000;19/12/2021
2020;Grado: Ingeniería de Tecnologías y Servicios de Telecomunicación;Zaragoza;Escuela de Ingeniería y Arquitectura;;5.000;5.000;19/12/2021
2020;Grado: Ingeniería Electrica;Zaragoza;Escuela de Ingeniería y Arquitectura;;5.000;5.000;19/12/2021
2020;Grado: Ingeniería Electrónica y Automática;Zaragoza;Escuela de Ingeniería y Arquitectura;;5.000;5.000;19/12/2021
2020;Grado: Ingeniería Electrónica y Automática;Teruel;Escuela Universitaria Politécnica de Teruel;;5.000;5.000;19/12/2021
2020;Grado: Ingeniería Informática;Zaragoza;Escuela de Ingeniería y Arquitectura;;10.142;;19/12/2021
2020;Grado: Ingeniería Informática;Teruel;Escuela Universitaria Politécnica de Teruel;;5.000;5.000;19/12/2021
2020;Grado: Ingeniería Mecánica;Zaragoza;Escuela de Ingeniería y Arquitectura;;5.000;5.000;19/12/2021
2020;Grado: Ingeniería Mecatrónica;Almunia de Doña Godina (La);Escuela Universitaria Politécnica de la Almunia de Doña Godina;;5.000;5.000;19/12/2021
2020;Grado: Ingeniería Química;Zaragoza;Escuela de Ingeniería y Arquitectura;;5.000;5.000;19/12/2021
2020;Grado: Lenguas Modernas;Zaragoza;Facultad de Filosofía y Letras;;6.668;;19/12/2021
2020;Grado: Programa conjunto en Derecho-Administración y Dirección de Empresas;Zaragoza;Facultad de Derecho;;12.408;;19/12/2021
2020;Grado: Estudios en Arquitectura;Zaragoza;Escuela de Ingeniería y Arquitectura;;6.576;;19/12/2021
2020;Grado: Programa conjunto Física-Matemáticas (FisMat);Zaragoza;Facultad de Ciencias;;13.624;;19/12/2021
2020;Grado: Programa conjunto en Nutrición Humana y Dietética-Ciencias de la Actividad Física y del Deporte;Huesca;Facultad de Ciencias de la Salud y del Deporte;;11.433;;19/12/2021
2020;Grado: Programa conjunto en Matemáticas-Ingeniería Informática;Zaragoza;Escuela de Ingeniería y Arquitectura;;12.770;;19/12/2021
2020;Grado: Programa conjunto en Ingeniería Mecatrónica-Ingeniería de Organización  Industrial;Almunia de Doña Godina (La);Escuela Universitaria Politécnica de la Almunia de Doña Godina;;9.565;;19/12/2021
2020;Grado: Psicología;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;;6.172;;19/12/2021
